2020-05-21 21:49:26.335903
dolar australijski,Australia,1 AUD,2.7169,-0.24%
real brazylijski,Brazylia,1 BRL,0.7263,0.46%
lewa bu³garska,Bu³garia,1 BGN,2.3195,-0.38%
juan chiñski,Chiny,1 CNY,0.5825,-0.53%
kuna chorwacka,Chorwacja,1 HRK,0.5989,-0.33%
korona czeska,Czechy,1 CZK,0.1668,0.54%
korona duñska,Dania,1 DKK,0.6084,-0.39%
euro Strefa Euro,EUGiW,1 EUR,4.5365,-0.38%
peso filipiñskie,Filipiny,1 PHP,0.0817,-0.49%
dolar Hong Kongu,Hongkong,1 HKD,0.5335,-0.65%
-,Indonezja,10000 IDR,2.8108,-0.64%
korona islandzka,Islandia,100 ISK,2.9024,-0.26%
jen japoñski,Japonia,100 JPY,3.8364,-0.78%
dolar kanadyjski,Kanada,1 CAD,2.9717,-0.56%
won po³udniowokoreañski,Korea Po³udniowa,100 KRW,0.3362,-0.56%
ringgit malezyjski,Malezja,1 MYR,0.9516,-0.42%
peso meksykañskie,Meksyk,1 MXN,0.1788,0.96%
korona norweska,Norwegia,1 NOK,0.4158,-0.17%
dolar nowozelandzki,Nowa Zelandia,1 NZD,2.5317,-0.30%
rand po³udniowoafrykañski,RPA,1 ZAR,0.2309,0.74%
rubel rosyjski,Rosja,1 RUB,0.0585,1.39%
lej rumuñski,Rumunia,1 RON,0.9365,-0.40%
-,SDR,1 XDR,5.6519,-0.48%
dolar singapurski,Singapur,1 SGD,2.9226,-0.47%
frank szwajcarski,Szwajcaria,1 CHF,4.2787,-0.53%
korona szwedzka,Szwecja,1 SEK,0.4305,-0.07%
baht tajlandzki,Tajlandia,1 THB,0.1299,-0.61%
lira turecka,Turcja,1 TRY,0.6084,-0.93%
dolar amerykañski,USA,1 USD,4.1346,-0.66%
hrywna ukraiñska,Ukraina,1 UAH,0.1543,-1.41%
funt brytyjski,W. Brytania,1 GBP,5.0543,-0.82%
forint wêgierski,Wêgry,100 HUF,1.2998,-0.13%
